Wavelength	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
nm	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.
Wavelength	5 K	20 K	35 K	50 K	65 K	80 K	95 K	110 K	125 K	140 K	155 K	170 K	185 K	200 K	215 K	230 K	245 K	260 K	275 K	290 K
448	279600.281	254454.922	118510.383	29867.8535	17787.4961	12732.1162	6556.61133	3740.51514	2587.79346	2212.22559	2141.15454	1952.30322	1863.95032	1771.30469	1816.07935	1705.7384	1712.75354	1642.68579	1687.46008	1631.90442
449	291666.438	261826.469	122394.156	30900.3906	18449.2813	13229.002	6858.23877	3802.5957	2682.04297	2218.09888	2129.64575	1921.54688	1899.70337	1797.70642	1680.07275	1776.5686	1690.28333	1668.64648	1505.80554	1590.72363
450	299338.969	265757.344	124791.117	31997.1895	19644.0078	14095.584	7132.91211	3963.12158	2688.49365	2314.94336	1982.0874	1935.30432	1719.52844	1685.84875	1759.96765	1784.32288	1610.98792	1704.01758	1675.09753	1562.04663
451	305014.031	276745.844	128293.844	32866.2031	20965.6406	14920.6543	7188.6377	4006.17578	2825.76904	2162.56348	2104.24731	1944.50549	1831.21802	1787.98682	1760.94641	1600.85608	1690.36218	1586.16821	1591.51245	1600.54309
452	318852.75	285781.094	132438.031	34778.875	21644.4551	15348.4385	7614.28906	4190.09668	2746.58398	2329.79834	2074.68188	1874.45569	1813.35803	1792.1123	1676.2345	1731.49731	1618.88806	1608.25403	1574.12561	1627.76929
453	327686.406	290429.938	135367.031	35714.793	23023.6367	16737.1328	8157.77881	4232.22461	2864.56494	2376.69067	2146.0918	1875.12793	1915.29785	1756.38062	1781.04956	1675.82617	1578.05896	1524.35486	1613.05823	1482.79395
454	335883.125	303370.844	138167.75	37164.1094	24517.6934	17286.4297	8420.52734	4412.94824	2979.99316	2342.29028	2018.646	1884.66943	1815.38196	1644.26294	1672.37854	1636.70166	1548.83862	1567.87183	1562.85706	1494.01624
455	349905.719	312953.313	143820.953	39264.4063	25677.1367	17980.1777	8671.82227	4542.05811	2911.88086	2357.17896	2118.77686	1910.76758	1841.16455	1728.61414	1685.75305	1588.48621	1577.03418	1542.85461	1483.75745	1467.33508
456	359955.625	318449.719	146263.766	40107.6172	27476.0215	19278.7461	9168.20801	4814.75488	3009.96851	2354.40527	2113.27783	1976.16418	1718.07837	1726.31665	1632.64893	1651.30103	1577.15491	1505.16992	1523.58923	1514.56323
457	368709.969	332732.313	150154.891	41546.168	29206.7617	20534.8438	9722.87109	4788.66699	3159.80249	2422.01782	2059.82813	2050.14526	1853.22571	1777.72705	1697.60547	1625.48267	1615.67566	1529.05029	1462.42737	1534.38757
458	386704.125	343050.344	155618.203	44226.3203	30833.3027	21296.3105	10185.9746	5035.28955	3174.54517	2383.2207	2181.00269	1916.0769	1892.09167	1697.60071	1572.90344	1566.88574	1467.68982	1521.48572	1469.23584	1433.80261
459	396886.281	351159.25	158757.406	46764.4648	32832.3242	23097.4863	10761.9414	5269.31445	3304.90015	2521.771	2103.27856	1954.87305	1815.7749	1740.87805	1640.02869	1573.38672	1593.62695	1567.1228	1542.17322	1475.32031
460	410415.563	364341.406	163242.875	48218.9961	35307.7969	24366.5703	11144.7627	5336.71338	3362.62891	2572.16211	2219.91284	1937.34326	1829.18311	1762.03088	1627.6167	1534.81799	1575.74658	1539.80774	1562.81006	1458.55969
461	429219	375036.656	170216.656	51423.2266	37408.2695	25912.9023	11647.0049	5644.84521	3495.05518	2651.27271	2181.73389	1984.63843	1908.6853	1677.20825	1698.70667	1644.72693	1567.08411	1496.89917	1504.61707	1478.08057
462	443738.844	385510.344	173817.938	53546	40084.9883	27902.0645	12421.9961	5814.37207	3495.11914	2593.50293	2225.12988	1884.39978	1823.63928	1836.07324	1618.44629	1695.23267	1554.49731	1505.58105	1475.86719	1533.42798
463	453496	399736.625	177009.969	55332.9336	42839.4688	29575.4102	13241.9922	6196.21973	3787.05469	2727.1748	2299.89478	2084.08984	1886.57959	1708.99707	1588.07349	1593.33936	1582.52551	1540.98584	1470.78027	1499.3324
464	475999.469	417479.906	184840.984	59949.0703	45383.3945	30721.8555	13691.9473	6317.19092	3823.81006	2684.00928	2254.25146	2052.92407	1896.6366	1827.05469	1660.93372	1634.52771	1637.38062	1573.73621	1395.54517	1453.01477
465	490992.563	421872.906	188713.297	63287.8828	48951.4063	33802.0078	14826.334	6647.00684	3779.87476	2818.29492	2328.88062	2064.93335	1907.25867	1892.70007	1753.9895	1643.67542	1539.68689	1622.45007	1564.84851	1494.70117
466	505515.219	439564.813	192798.953	65636.2109	52439.8359	35818.3555	15674.6514	7062.50586	4116.33691	3006.33765	2407.01489	2034.34973	1918.03125	1860.84058	1687.06787	1683.61841	1655.48877	1520.74805	1530.57153	1480.27124
467	527618.188	455246.594	200690.484	69875.2969	55600.1172	37533.3828	16143.1211	7344.00049	4155.35693	3003.47314	2555.08228	2202.77832	2017.65845	1925.92358	1786.65332	1703.87378	1653.59595	1546.03284	1489.06934	1500.75964
468	546434.25	467743.344	204575.922	73893.875	59681.5078	40819.8242	17204.4473	7814.9126	4439.35156	3084.84521	2612.68408	2198.47852	2025.45618	1961.52185	1817.75586	1734.85095	1648.44348	1582.09985	1490.1311	1623.17566
469	560032.563	482405.938	210046.641	77163.7813	64067.1016	43300.0391	18101.7637	8151.2959	4836.93213	3164.03589	2486.03931	2323.8894	1956.27185	1892.57446	1821.17676	1734.40674	1657.92078	1691.32434	1665.94336	1574.33057
